"","X","date","zip","resp","diar","pop","hh.size","lat","long","fitted1"
"1",1,"2020-02-27",6001,0,0,6618,1,41.7922485,-72.8546215,0.0286470170474335
"2",2,"2020-02-27",6002,0,1,6949,2,41.852748,-72.736193,0.118242140801802
"3",3,"2020-02-27",6010,0,0,6295,2,41.681598,-72.940477,0.10711386909589
"4",4,"2020-02-27",6013,0,0,7777,1,41.7586945,-72.95751,0.0336639243846918
"5",5,"2020-02-27",6016,0,0,8025,1,41.9068475,-72.5516315,0.0347374300099205
"6",6,"2020-02-27",6018,0,0,8353,2,42.021107878,-73.29613924,0.142132191986969
"7",7,"2020-02-27",6019,0,2,9038,3,41.852411,-72.8994735,0.604532478387954
"8",8,"2020-02-27",6020,0,0,7409,1,41.8742965,-72.8993385,0.0320709805537073
"9",9,"2020-02-27",6021,0,0,7938,1,42.016421379,-73.1119775,0.0343608373107475
"10",10,"2020-02-27",6022,0,0,7138,2,41.866526,-72.920646,0.121458109230574
"11",11,"2020-02-27",6023,0,0,7539,1,41.6139485,-72.7205765,0.0326337052766094
"12",12,"2020-02-27",6024,0,0,7230,2,42.021986,-73.269836,0.12302355418003
"13",13,"2020-02-27",6026,0,0,8688,1,41.9385965,-72.735138,0.0376073260967214
"14",14,"2020-02-27",6027,1,0,6976,4,42.004306649,-72.913469,1.83421863710294
"15",15,"2020-02-27",6029,0,0,7215,2,41.907197,-72.4231275,0.122768318590445
"16",16,"2020-02-27",6031,0,1,7372,2,41.946962,-73.3304885,0.125439784428102
"17",17,"2020-02-27",6032,0,0,7960,1,41.725199,-72.8295075,0.0344560676484694
"18",18,"2020-02-27",6033,0,0,7295,1,41.703899,-72.5461325,0.0315775142582392
"19",19,"2020-02-27",6035,0,0,7555,1,41.960306365,-72.79614,0.0327029637040435
"20",20,"2020-02-27",6037,1,0,6709,3,41.603448,-72.7762915,0.448750652523211
"21",21,"2020-02-27",6039,0,0,6303,2,41.967320505,-73.43203767,0.107249994743669
"22",22,"2020-02-27",6040,0,0,6193,2,41.7770485,-72.523631,0.105378267086712
"23",23,"2020-02-27",6043,0,0,7412,1,41.766929,-72.438478,0.0320839665088511
"24",24,"2020-02-27",6051,0,0,8556,1,41.666649,-72.769641,0.03703594407039
"25",25,"2020-02-27",6052,0,0,7542,2,41.6571985,-72.8041925,0.1283324544434
"26",26,"2020-02-27",6053,0,0,7575,2,41.690297,-72.7906915,0.128893972740488
"27",27,"2020-02-27",6057,0,0,6948,2,41.85597,-73.0064315,0.118225125095829
"28",28,"2020-02-27",6058,0,0,8470,2,41.959432588,-73.199483,0.144123029585733
"29",29,"2020-02-27",6059,1,0,8048,2,41.928609,-72.916584,0.136942401665405
"30",30,"2020-02-27",6060,0,0,8383,2,41.996753,-72.8444925,0.14264266316614
"31",31,"2020-02-27",6062,0,0,8372,1,41.6738525,-72.8539445,0.0362394721548977
"32",32,"2020-02-27",6063,0,0,5711,2,41.9320325,-72.966924,0.0971766968080429
"33",33,"2020-02-27",6065,0,0,6607,1,41.976322423,-73.02232,0.0285994018785725
"34",34,"2020-02-27",6066,0,0,6782,1,41.8358975,-72.4632105,0.0293569159286331
"35",35,"2020-02-27",6067,0,0,8042,1,41.657749,-72.662687,0.0348110170890692
"36",36,"2020-02-27",6068,0,0,8758,3,42.0082755,-73.41461884,0.585803877597001
"37",37,"2020-02-27",6069,0,0,8183,2,41.855067717,-73.44148419,0.139239521971671
"38",38,"2020-02-27",6070,0,0,6861,1,41.868613,-72.8216415,0.0296988794140891
"39",39,"2020-02-27",6071,0,0,7242,1,41.9908563,-72.4517345,0.0313480957173638
"40",40,"2020-02-27",6073,0,0,7504,1,41.663449,-72.554933,0.0324822024665973
"41",41,"2020-02-27",6074,0,0,7977,2,41.833848,-72.5705325,0.135734286541369
"42",42,"2020-02-27",6076,0,0,6367,3,41.986640815,-72.2533375,0.425875004414262
"43",43,"2020-02-27",6078,0,0,9051,1,41.976171629,-72.65770167,0.0391786266691328
"44",44,"2020-02-27",6081,0,0,8078,1,41.905697,-72.7715895,0.034966848550796
"45",45,"2020-02-27",6082,0,0,7339,2,41.984446,-72.5570815,0.124878266131015
"46",46,"2020-02-27",6084,0,0,6970,1,41.882047,-72.361168,0.0301707024509839
"47",47,"2020-02-27",6085,0,0,7431,1,41.7468985,-72.880995,0.0321662108914292
"48",48,"2020-02-27",6088,0,0,7568,1,41.9033475,-72.592533,0.0327592361763337
"49",49,"2020-02-27",6089,1,2,9156,4,41.8387975,-72.831442,2.40741196119761
"50",50,"2020-02-27",6090,0,0,7312,2,41.9545455,-72.8658435,0.124418842069762
"51",51,"2020-02-27",6091,2,0,5732,4,42.002732904,-72.9820655,1.50713033656452
"52",52,"2020-02-27",6092,1,1,7330,4,41.861663,-72.8497045,1.92729681908895
"53",53,"2020-02-27",6093,0,0,7239,2,42.005542,-72.72442587,0.123176695533781
"54",54,"2020-02-27",6095,0,0,7567,2,41.865898,-72.6818835,0.128757847092709
"55",55,"2020-02-27",6096,0,0,7424,1,41.9234965,-72.6594105,0.0321359103294267
"56",56,"2020-02-27",6098,0,0,7786,2,41.946750222,-73.0648565,0.132484286700652
"57",57,"2020-02-27",6103,0,0,8259,2,41.768549,-72.6745365,0.140532715625569
"58",58,"2020-02-27",6105,0,1,7785,3,41.7779495,-72.702138,0.520721989848442
"59",59,"2020-02-27",6106,0,0,8034,3,41.7414495,-72.687187,0.537377066980396
"60",60,"2020-02-27",6107,0,0,7893,1,41.75265,-72.758573,0.0341660479835891
"61",61,"2020-02-27",6108,0,0,6610,1,41.777599,-72.621378,0.0286123878337164
"62",62,"2020-02-27",6109,0,0,5573,1,41.7036995,-72.662837,0.0241235760056432
"63",63,"2020-02-27",6110,0,0,8027,1,41.73425,-72.7381895,0.0347460873133498
"64",64,"2020-02-27",6111,0,0,6646,2,41.6856495,-72.731196,0.113086381892182
"65",65,"2020-02-27",6112,0,0,7474,1,41.791187,-72.6968875,0.0323523429151584
"66",66,"2020-02-27",6114,1,0,8959,3,41.7454495,-72.670287,0.599248337450506
"67",67,"2020-02-27",6117,0,1,7472,2,41.7813995,-72.7574895,0.127141355025336
"68",68,"2020-02-27",6118,1,0,7752,3,41.7448355,-72.6121345,0.518514690469509
"69",69,"2020-02-27",6119,4,4,7227,4,41.7637495,-72.7265885,1.90021474918907
"70",70,"2020-02-27",6120,0,1,8858,1,41.788049,-72.667336,0.0383431968882088
"71",71,"2020-02-27",6226,0,0,8015,1,41.7093655,-72.2109645,0.0346941434927742
"72",72,"2020-02-27",6231,1,0,7282,2,41.627599,-72.372719,0.123908370890591
"73",73,"2020-02-27",6232,0,0,7407,2,41.732026,-72.374618,0.126035334137134
"74",74,"2020-02-27",6234,1,0,7248,3,41.784606,-71.9628505,0.484803209045794
"75",75,"2020-02-27",6235,0,0,7228,1,41.811508,-72.1279515,0.0312874945933589
"76",76,"2020-02-27",6237,0,0,6841,2,41.690941,-72.2980185,0.116404444556789
"77",77,"2020-02-27",6238,0,0,6938,2,41.777595,-72.334272,0.118054968036106
"78",78,"2020-02-27",6239,0,0,7485,2,41.788984,-71.85521753,0.127362559202977
"79",79,"2020-02-27",6241,0,0,9115,3,41.853812813,-71.86030059,0.609682843605465
"80",80,"2020-02-27",6242,0,0,9083,2,41.901662,-72.100683,0.154553657346779
